instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00071-00000001.toc,toc,12,215,11.50232558139535,1,0.05375580000691116,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000002.toc,toc,12,340,12.155882352941177,1,0.05394080001860857,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000003.toc,toc,12,582,13.66151202749141,1,0.07456169999204576,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000004.toc,toc,12,568,12.96654929577465,1,0.0450256000040099,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000005.toc,toc,12,487,12.659137577002054,1,0.05142350005917251,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000006.toc,toc,12,501,13.42115768463074,1,0.0730487999971956,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000007.toc,toc,12,227,15.497797356828196,1,0.06117670005187392,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000008.toc,toc,12,337,16.875370919881306,1,0.08807360008358955,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000009.toc,toc,12,591,17.996615905245342,2,0.20498529996257275,"[[4, 12], [1, 2, 3, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000010.toc,toc,12,563,17.349911190053287,1,0.22861589991953224,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000011.toc,toc,12,496,18.046370967741936,1,0.24138850008603185,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000012.toc,toc,12,526,17.69961977186312,1,0.07024289993569255,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000013.toc,toc,10,902,9.87028824833703,1,0.043566999956965446,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000014.toc,toc,10,376,9.46808510638298,1,0.03452250000555068,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000015.toc,toc,10,961,10.528616024973987,1,0.03737609996460378,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000016.toc,toc,10,908,11.705947136563877,1,0.04298040003050119,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000017.toc,toc,10,373,10.991957104557642,1,0.046347000054083765,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000018.toc,toc,10,955,15.503664921465969,2,0.1125156000489369,"[[10], [1, 2, 3, 4, 5, 6, 7, 8, 9]]"
00071-00000019.toc,toc,11,1291,12.585592563903951,1,0.048634500009939075,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000020.toc,toc,11,1047,13.505253104106973,1,0.05302650004159659,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000021.toc,toc,11,667,11.937031484257872,1,0.03607380005996674,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000022.toc,toc,11,1024,12.18359375,1,0.04666880005970597,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000023.toc,toc,11,1268,13.34858044164038,1,0.05240829999092966,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000024.toc,toc,11,245,13.024489795918369,1,0.07665669999551028,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000025.toc,toc,11,279,10.379928315412187,1,0.03572849999181926,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000026.toc,toc,11,307,12.866449511400653,1,0.03094199998304248,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000027.toc,toc,11,362,15.803867403314921,2,0.22039519995450974,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000028.toc,toc,11,325,15.372307692307698,2,0.09855650004465133,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000029.toc,toc,11,244,14.754098360655739,1,0.04919430008158088,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000030.toc,toc,11,243,15.041152263374485,1,0.04866289999336004,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000031.toc,toc,11,282,13.840425531914894,1,0.05406969995237887,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000032.toc,toc,11,229,16.62008733624454,1,0.05942379997577518,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000033.toi,toi,11,1302,15.380640297667247,2,0.08867540000937879,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
