instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00068-00000402.soi,soi,8,15,9.46904761904762,2,0.03269290004391223,"[[2, 3, 4, 6, 8], [1, 5, 7]]"
00068-00000403.soi,soi,9,15,14.226573426573427,8,0.07076049991883337,"[[8], [3], [1, 7], [5], [6], [4], [2], [9]]"
00068-00000404.soi,soi,7,21,4.67300740195477,3,0.01294929999858141,"[[5], [1, 3, 6, 7], [2, 4]]"
00068-00000405.soi,soi,9,15,15.361904761904759,4,0.1492638000054285,"[[1, 5, 6, 7, 8], [9], [2, 4], [3]]"
00068-00000406.soi,soi,11,15,14.67032967032967,2,0.047151500009931624,"[[8, 11], [1, 2, 3, 4, 5, 6, 7, 9, 10]]"
00068-00000407.soi,soi,14,15,23.685314685314687,3,0.3553072999930009,"[[2, 11], [1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14], [7]]"
00068-00000408.soi,soi,6,15,5.124025974025974,2,0.012839999981224537,"[[1, 4, 5], [2, 3, 6]]"
00068-00000409.soi,soi,10,15,9.298373848373846,6,0.046595499967224896,"[[9], [6], [2], [4, 5, 7], [3, 8, 10], [1]]"
00068-00000410.soi,soi,5,15,2.25,4,0.011979199945926666,"[[3, 5], [1], [4], [2]]"
00068-00000411.soi,soi,6,15,5.010389610389611,5,0.011712800012901425,"[[3, 6], [1], [4], [5], [2]]"
00068-00000412.soi,soi,10,15,17.52698412698413,3,0.21715539996512234,"[[6], [1, 2, 3, 4, 5, 8, 9, 10], [7]]"
00068-00000413.soi,soi,7,15,6.15091575091575,2,0.027273699990473688,"[[3, 4, 5, 6], [1, 2, 7]]"
00068-00000414.soi,soi,8,15,7.2023809523809526,4,0.038236599997617304,"[[5], [1, 3, 6, 7], [2], [4, 8]]"
00068-00000415.soi,soi,8,15,7.472222222222221,4,0.02319719991646707,"[[2, 7], [5, 6, 8], [4], [1, 3]]"
00068-00000416.soi,soi,4,15,1.5385281385614005,1,0.005745899979956448,"[[1, 2, 3, 4]]"
00068-00000417.soi,soi,8,21,11.395238095238097,3,0.42932740005198866,"[[7, 8], [1, 3, 5, 6], [2, 4]]"
00068-00000418.soi,soi,8,15,10.757581307581308,4,0.04116789996623993,"[[1, 2, 3, 4, 6], [8], [7], [5]]"
00068-00000419.soi,soi,7,15,5.283333333333334,2,0.02060660009738058,"[[4, 7], [1, 2, 3, 5, 6]]"
00068-00000420.soi,soi,10,15,12.633333333333333,3,0.08750020002480596,"[[1, 4, 5, 6, 9], [2, 7, 8, 10], [3]]"
00068-00000421.soi,soi,6,15,3.409523809523809,2,0.01144229993224144,"[[2, 3, 5], [1, 4, 6]]"
00068-00000422.soi,soi,6,21,5.104040404040404,4,0.011868100031279027,"[[4], [6], [1, 2, 5], [3]]"
00068-00000423.soi,soi,5,15,2.9333333333333327,4,0.008043900015763938,"[[2], [4], [1, 5], [3]]"
00068-00000424.soi,soi,11,23,17.871347294365194,4,3.476782299927436,"[[6, 10], [11], [1, 3, 7, 9], [2, 4, 5, 8]]"
00068-00000425.soi,soi,7,15,5.302258852258852,6,0.01710950001142919,"[[2], [5], [7], [4, 6], [1], [3]]"
00068-00000426.soi,soi,10,15,12.61025641025641,2,0.05799050000496209,"[[3, 5, 6, 8, 9, 10], [1, 2, 4, 7]]"
00068-00000427.soi,soi,7,15,5.985064935064933,6,0.017818600055761635,"[[2], [7], [4, 6], [5], [1], [3]]"
00068-00000428.soi,soi,6,15,5.9393939393939394,2,0.02359440003056079,"[[1, 2, 3, 4], [5, 6]]"
00068-00000429.soi,soi,9,21,12.20713716108453,3,0.04003919998649508,"[[1, 6], [2, 3, 8], [4, 5, 7, 9]]"
00068-00000430.soi,soi,7,15,7.362698412698412,3,0.022359799942933023,"[[5], [1, 3, 4, 6, 7], [2]]"
00068-00000431.soi,soi,6,15,4.78021978021978,4,0.011860499973408878,"[[3, 4, 6], [2], [5], [1]]"
00068-00000432.soi,soi,10,15,14.082417582417582,4,0.05821499996818602,"[[7], [1, 2, 3, 6, 9, 10], [5, 8], [4]]"
00068-00000433.soi,soi,9,15,10.865745365745365,2,0.0414211000315845,"[[2, 3, 4, 5, 6, 7, 8, 9], [1]]"
00068-00000434.soi,soi,10,15,19.03333333333333,3,1.3837132999906316,"[[4, 5, 9], [3], [1, 2, 6, 7, 8, 10]]"
00068-00000435.soi,soi,8,15,10.511111111111111,2,0.028157000080682337,"[[1, 5], [2, 3, 4, 6, 7, 8]]"
00068-00000436.soi,soi,14,15,28.69468864468866,7,5.211249700048938,"[[12], [4], [7], [1, 3], [6, 8, 9, 11, 13, 14], [5, 10], [2]]"
00068-00000437.soi,soi,6,15,3.5444444444444443,4,0.01089569996111095,"[[1], [2], [3], [4, 5, 6]]"
00068-00000438.soi,soi,5,15,0.9393939393939394,3,0.008185300044715405,"[[2], [3, 5], [1, 4]]"
