instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00035-00000002.soc,soc,15,42,31.571428571428577,2,0.4774953000014648,"[[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], [1]]"
00035-00000003.soc,soc,15,42,35.095238095238095,2,8.297212700010277,"[[2, 3, 8, 9, 10], [1, 4, 5, 6, 7, 11, 12, 13, 14, 15]]"
00035-00000006.soc,soc,15,42,32.66666666666667,2,0.37591540010180324,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]"
00035-00000007.soc,soc,15,42,35.952380952380956,2,5.506341999978758,"[[4, 6, 11, 12, 13, 14], [1, 2, 3, 5, 7, 8, 9, 10, 15]]"
