instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00004-00000001.soc,soc,3,664,0.5783132529040484,2,0.0058732000179588795,"[[1, 2], [3]]"
00004-00000003.soc,soc,3,533,1.0018761727260426,3,0.0038989000022411346,"[[3], [2], [1]]"
00004-00000005.soc,soc,3,448,1.1071428572093802,2,0.004435400012880564,"[[2], [1, 3]]"
00004-00000010.soc,soc,3,1394,1.1865136298567118,2,0.00462720007635653,"[[2, 3], [1]]"
00004-00000014.soc,soc,3,379,0.9894459103163465,2,0.005635400069877505,"[[2], [1, 3]]"
00004-00000015.soc,soc,3,1022,0.5440313111489035,2,0.004020599997602403,"[[3], [1, 2]]"
