instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_ruido,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,buckets_original,buckets_ruido
00004-00000001.soc,soc,3,664,rankings,empate,b=0.1,0,0.5783132529040484,0.6867469879742489,2,1,0.018498999997973442,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,empate,b=0.2,0,0.5783132529040484,0.6867469879742489,2,1,0.017910599999595433,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,empate,b=0.3,0,0.5783132529040484,0.6867469879742489,2,1,0.018258899974171072,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,intercambio,b=0.1,0,0.5783132529040484,0.13855421681276892,2,1,0.015740100003313273,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,intercambio,b=0.2,0,0.5783132529040484,0.13855421681276892,2,1,0.013930300017818809,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,intercambio,b=0.3,0,0.5783132529040484,0.13855421681276892,2,1,0.013762300019152462,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,local,b=0.1,0,0.5783132529040484,0.060240963830175076,2,1,0.00838740001199767,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,local,b=0.2,0,0.5783132529040484,0.060240963830175076,2,1,0.008370199997443706,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,local,b=0.3,0,0.5783132529040484,0.060240963830175076,2,1,0.008316699997521937,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,movimiento,b=0.1,0,0.5783132529040484,0.9638554216867472,2,1,0.016941900015808642,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,movimiento,b=0.2,0,0.5783132529040484,0.9638554216867472,2,1,0.017763699986971915,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,movimiento,b=0.3,0,0.5783132529040484,0.9638554216867472,2,1,0.018930900027044117,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,empate,b=0.1,1,0.5783132529040484,0.813253012091673,2,1,0.01794099999824539,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,empate,b=0.2,1,0.5783132529040484,0.813253012091673,2,1,0.017710299987811595,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,empate,b=0.3,1,0.5783132529040484,0.813253012091673,2,1,0.01779999997233972,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,intercambio,b=0.1,1,0.5783132529040484,0.12048192771084354,2,1,0.014933500031474978,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,intercambio,b=0.2,1,0.5783132529040484,0.12048192771084354,2,1,0.01698650000616908,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,intercambio,b=0.3,1,0.5783132529040484,0.12048192771084354,2,1,0.015677399991545826,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,local,b=0.1,1,0.5783132529040484,0.15060240963013882,2,1,0.00947200000518933,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,local,b=0.2,1,0.5783132529040484,0.15060240963013882,2,1,0.009508200048003346,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,local,b=0.3,1,0.5783132529040484,0.15060240963013882,2,1,0.010280699993018061,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,movimiento,b=0.1,1,0.5783132529040484,0.9352409638259673,2,1,0.01568869996117428,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
00004-00000001.soc,soc,3,664,rankings,movimiento,b=0.2,1,0.5783132529040484,0.9352409638259673,2,1,0.014972699980717152,0.0,0.9156626506024095,"[[1, 2], [3]]","[[1, 2, 3]]"
