instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_norm,obj_value_ruido,obj_value_ruido_norm,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,distancia_entrada,distancia_salida,sensibilidad,buckets_original,buckets_ruido
00068-00000301.soi,soi,15,15,scores,logistic,b=0.0,0,31.976190476190474,0.1522675736961451,31.2366840857457,0.14874611469402715,5,3,10.141271899992716,0.8710327732246503,0.02539682539682539,0.20940597231925748,0.0761904761904762,0.3638409895698545,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7, 11, 12, 15], [1, 2, 3, 5, 6, 8, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.05,0,31.976190476190474,0.1522675736961451,31.16020480135973,0.14838192762552252,5,3,0.7187051000073552,0.8710327732246503,0.02539682539682539,0.2070468715770461,0.0761904761904762,0.3679866090713873,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7, 11, 12, 15], [1, 2, 3, 5, 6, 8, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.1,0,31.976190476190474,0.1522675736961451,30.486462093776886,0.14517362901798517,5,3,1.586717199999839,0.7361443106917049,0.011111111111111106,0.20541725344883088,0.12857142857142856,0.6259037467047796,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7, 11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.2,0,31.976190476190474,0.1522675736961451,27.75233198002261,0.1321539618096315,5,3,0.7656786999868928,0.7361443106917049,0.011111111111111106,0.2090701605304506,0.12857142857142856,0.6149678569395962,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7, 11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.3,0,31.976190476190474,0.1522675736961451,26.97331276745088,0.12844434651167086,5,3,0.6291275000112364,0.7361443106917049,0.011111111111111106,0.22011772309283006,0.12857142857142856,0.5841030279838314,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7, 11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.5,0,31.976190476190474,0.1522675736961451,27.812976725262523,0.1324427463107739,5,4,0.989454399998067,0.6573722569830279,0.0873015873015873,0.26183520692454176,0.1761904761904762,0.672905978764164,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7, 11, 15], [6, 8, 13], [1, 2, 3, 5, 9, 10, 12, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.6,0,31.976190476190474,0.1522675736961451,26.373061314877546,0.12558600626132166,5,4,1.139601999995648,0.4578910456257139,0.14285714285714285,0.2802936931587079,0.2571428571428571,0.9174050769571105,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[6, 7, 8, 11, 13, 15], [1, 2, 3, 5, 9, 10], [12, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.7,0,31.976190476190474,0.1522675736961451,24.910275262325616,0.11862035839202674,5,4,0.8743981999868993,0.46291004988627565,0.15714285714285714,0.2959882120563165,0.2714285714285714,0.9170249367124383,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[6, 7, 8, 11, 13, 15], [1, 2, 5, 9, 10], [3, 12, 14], [4]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=1.0,0,31.976190476190474,0.1522675736961451,19.860155738313022,0.09457217018244296,5,4,0.2894866999995429,0.36710862157118823,0.2,0.3299509267686512,0.3142857142857143,0.9525225989320505,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[6, 7, 8, 10, 11, 13, 15], [1, 2, 5, 9], [3, 14], [4, 12]]"
00068-00000301.soi,soi,15,15,scores,logistic,b=0.0,1,31.976190476190474,0.1522675736961451,31.2366840857457,0.14874611469402715,5,3,13.071623600000748,0.8710327732246503,0.02539682539682539,0.20940597231925748,0.0761904761904762,0.3638409895698545,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7, 11, 12, 15], [1, 2, 3, 5, 6, 8, 9, 10, 13, 14], [4]]"
