instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_ruido,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,buckets_original,buckets_ruido
00006-00000001.toc,toc,30,9,matriz,cerca_empate,b=0.05,0,33.22222222222223,33.53329382561685,13,12,2.4819562999764457,0.8911480927304851,21.4444444444444,"[[1, 12, 13, 15], [2, 21], [3, 10], [4, 14, 17, 19, 23], [5, 22, 24, 26, 28], [6], [7, 27], [8, 25], [9, 29], [11], [16, 20], [18], [30]]","[[1, 12, 13, 15], [2, 21], [3, 10], [4, 14, 17, 19, 23], [5, 7, 22, 24, 26, 28], [6, 16, 20], [8], [9, 25, 29], [11], [18], [27], [30]]"
00006-00000002.toc,toc,24,9,matriz,cerca_empate,b=0.05,0,18.888888888888886,20.53227580975647,10,10,0.44866140000522137,1.0,0.0,"[[1, 2, 4, 10, 11], [3, 5], [6, 9], [7, 8, 14, 17], [12, 18], [13, 19], [15, 22, 23, 24], [16], [20], [21]]","[[1, 2, 4, 10, 11], [3, 5], [6, 9], [7, 8, 14, 17], [12, 18], [13, 19], [15, 22, 23, 24], [16], [20], [21]]"
00006-00000003.soc,soc,14,9,matriz,cerca_empate,b=0.05,0,5.6666666666667,5.69867663918248,11,11,0.07773169997381046,1.0,0.0,"[[1], [2, 13], [3, 12], [4, 11], [5], [6], [7], [8], [9], [10], [14]]","[[1], [2, 13], [3, 12], [4, 11], [5], [6], [7], [8], [9], [10], [14]]"
00006-00000004.soc,soc,14,9,matriz,cerca_empate,b=0.05,0,2.6666666666667,2.6666666666667,14,14,0.07823729998199269,1.0,0.0,"[[1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14]]","[[1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14]]"
