instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_ruido,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,buckets_original,buckets_ruido
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.01,0,31.571428571428577,31.620842020891846,2,2,0.5945626000175253,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.05,0,31.571428571428577,31.818495818744935,2,2,0.5880572000169195,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.1,0,31.571428571428577,32.301681416078836,2,2,0.5591518000001088,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.01,0,31.571428571428577,31.931807149600523,2,2,0.4533804999664426,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.05,0,31.571428571428577,34.07903995704168,2,2,0.5032972000190057,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.1,0,31.571428571428577,37.90667280421903,2,2,1.0407461000140756,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.01,0,31.571428571428577,31.343942234727223,2,2,1.4302593999891542,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.05,0,31.571428571428577,31.461845791763807,2,2,0.6348729999735951,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.1,0,31.571428571428577,34.76063021891339,2,3,0.4851253999513574,0.7200822998230956,4.142857142857139,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.01,1,31.571428571428577,31.830206233836673,2,2,0.4294886999996379,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.05,1,31.571428571428577,33.07128820336124,2,2,1.2717001999844797,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.1,1,31.571428571428577,34.24019462251946,2,1,1.3797131999745034,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.01,1,31.571428571428577,31.81345838189847,2,2,0.7124757000128739,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.05,1,31.571428571428577,33.308997224243235,2,2,0.5030896000098437,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.1,1,31.571428571428577,36.22378246853544,2,2,0.8532533000106923,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.01,1,31.571428571428577,31.513284818256867,2,2,0.38859800004865974,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.05,1,31.571428571428577,32.37814146356115,2,2,0.9730044999741949,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.1,1,31.571428571428577,35.92800111025028,2,1,1.2223822000087239,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.01,2,31.571428571428577,31.3523989489908,2,2,0.47966979996999726,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.05,2,31.571428571428577,30.900716433389835,2,2,0.66471460001776,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,aleatoria,b=0.1,2,31.571428571428577,32.16540355993156,2,2,0.2663848999654874,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.01,2,31.571428571428577,31.653401032896927,2,2,0.6420741999754682,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.05,2,31.571428571428577,32.77294313319197,2,2,0.5145515999756753,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,cerca_empate,b=0.1,2,31.571428571428577,34.80296977053913,2,2,0.4963598999893293,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.01,2,31.571428571428577,31.48069753571396,2,2,1.0597221999778412,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.05,2,31.571428571428577,32.18694933804367,2,2,1.5127211000071838,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,matriz,todos,b=0.1,2,31.571428571428577,35.25275500351853,2,3,1.0558187999995425,0.606976978666884,24.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15], [12, 14]]"
