instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_ruido,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,buckets_original,buckets_ruido
00071-00000001.toc,toc,12,215,scores,logistic,b=0.0,0,11.50232558139535,16.985626504417638,1,2,0.11858000000938773,0.0,10.451162790697676,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1, 2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.05,0,11.50232558139535,18.621458555626198,1,3,0.1342897000722587,0.0,15.967441860465119,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [1, 4, 12], [2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.1,0,11.50232558139535,20.18248039525131,1,3,0.3583840999053791,0.0,15.967441860465119,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [1, 4, 12], [2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.2,0,11.50232558139535,20.063775048855927,1,3,0.31108329992275685,0.0,10.869767441860464,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [1, 2, 4, 5, 6, 7, 9, 10, 11, 12], [3]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.0,0,11.50232558139535,13.844100219631716,1,4,0.08055670000612736,0.0,22.153488372093026,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [4, 12], [1, 5], [2, 3, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.05,0,11.50232558139535,15.250231665806286,1,4,0.18971189996227622,0.0,22.153488372093026,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [4, 12], [1, 5], [2, 3, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.1,0,11.50232558139535,16.571585562812356,1,4,0.37716619996353984,0.0,21.953488372093023,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [1, 4, 12], [2, 5, 6, 7, 9, 10, 11], [3]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.2,0,11.50232558139535,16.35877658052749,1,4,0.09886220004409552,0.0,26.381395348837206,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [1, 4, 5, 6, 12], [2, 7, 9, 10, 11], [3]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.0,1,11.50232558139535,16.985626504417638,1,2,0.14577760000247508,0.0,10.451162790697676,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1, 2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.05,1,11.50232558139535,17.261869365514112,1,2,0.09748420002870262,0.0,10.451162790697676,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1, 2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.1,1,11.50232558139535,17.589738845052235,1,2,0.10134489997290075,0.0,10.451162790697676,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1, 2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.2,1,11.50232558139535,18.520152713779332,1,2,0.35845060006249696,0.0,10.451162790697676,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1, 2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.0,1,11.50232558139535,13.844100219631716,1,4,0.09686649998184294,0.0,22.153488372093026,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[8], [4, 12], [1, 5], [2, 3, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.05,1,11.50232558139535,14.904099384104203,1,3,0.12299990002065897,0.0,20.590697674418603,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1, 5], [2, 3, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.1,1,11.50232558139535,15.580345641308227,1,3,0.3691194999264553,0.0,15.893023255813954,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1], [2, 3, 5, 6, 7, 9, 10, 11]]"
00071-00000001.toc,toc,12,215,scores,probit,b=0.2,1,11.50232558139535,13.58477989926204,1,5,0.08989109995309263,0.0,28.05116279069767,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8], [12], [1], [2, 5, 6, 7, 9, 11], [3, 10]]"
00071-00000001.toc,toc,12,215,scores,logistic,b=0.0,2,11.50232558139535,16.985626504417638,1,2,0.1452176000457257,0.0,10.451162790697676,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","[[4, 8, 12], [1, 2, 3, 5, 6, 7, 9, 10, 11]]"
