instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_norm,obj_value_ruido,obj_value_ruido_norm,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,distancia_entrada,distancia_salida,sensibilidad,buckets_original,buckets_ruido
00035-00000006.soc,soc,15,42,scores,logistic,b=0.0,0,32.66666666666667,0.15555555555555559,33.51077353174457,0.1595751120559265,2,3,7.929967499992927,0.681385143869247,0.04308390022675735,0.08756660256287321,0.14285714285714285,1.6314112764003923,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[12, 14], [2, 3, 4, 5, 6, 8, 9, 10, 11, 13], [1, 7, 15]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.05,0,32.66666666666667,0.15555555555555559,34.3988753278419,0.16380416822781857,2,3,8.814079300005687,0.6865554812287478,0.03151927437641724,0.08688172513837703,0.11904761904761904,1.3702262340902096,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6, 12, 14], [2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 15], [1]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.1,0,32.66666666666667,0.15555555555555559,34.04574700422555,0.16212260478202642,2,2,11.19734199999948,0.4803844614152614,0.05986394557823132,0.09038231591399082,0.20952380952380953,2.318194742024486,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6, 9, 11, 12, 13, 14], [1, 2, 3, 4, 5, 7, 8, 10, 15]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.2,0,32.66666666666667,0.15555555555555559,32.839467730903976,0.15637841776620942,2,2,10.564849000002141,0.4803844614152614,0.05986394557823132,0.10561282961355517,0.20952380952380953,1.983885956758019,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6, 9, 11, 12, 13, 14], [1, 2, 3, 4, 5, 7, 8, 10, 15]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.3,0,32.66666666666667,0.15555555555555559,35.001861839041055,0.16667553256686216,2,2,11.817690199997742,0.4803844614152614,0.05986394557823132,0.13278580810632107,0.20952380952380953,1.5779081553357317,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6, 9, 11, 12, 13, 14], [1, 2, 3, 4, 5, 7, 8, 10, 15]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.5,0,32.66666666666667,0.15555555555555559,34.1714020688747,0.16272096223273666,2,3,12.22052440000698,-0.04941662111074008,0.1634920634920635,0.20526512238813568,0.36666666666666664,1.786307690272568,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6], [5, 8, 9, 10, 11, 13, 14], [1, 2, 3, 4, 7, 12, 15]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.6,0,32.66666666666667,0.15555555555555559,31.89800185572193,0.15189524693200918,2,3,12.452825200001826,-0.04941662111074008,0.1634920634920635,0.23948112895528575,0.36666666666666664,1.5310879327578586,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6], [5, 8, 9, 10, 11, 13, 14], [1, 2, 3, 4, 7, 12, 15]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.7,0,32.66666666666667,0.15555555555555559,31.44235658185037,0.14972550753262082,2,4,10.478423599997768,-0.023609608232494285,0.1848072562358277,0.27090635221269244,0.38571428571428573,1.4237919582315883,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6], [5, 8, 9, 10, 11, 13, 14], [1, 2, 3, 7, 12, 15], [4]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=1.0,0,32.66666666666667,0.15555555555555559,23.312504928297358,0.11101192822998741,2,4,0.48999040000489913,-0.35759212501413934,0.25056689342403626,0.3418309282819076,0.4714285714285714,1.379127903370361,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[6], [5, 8, 9, 10, 11, 13], [1, 2, 7, 14, 15], [3, 4, 12]]"
00035-00000006.soc,soc,15,42,scores,logistic,b=0.0,1,32.66666666666667,0.15555555555555559,33.51077353174457,0.1595751120559265,2,3,9.940748499997426,0.681385143869247,0.04308390022675735,0.08756660256287321,0.14285714285714285,1.6314112764003923,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[12, 14], [2, 3, 4, 5, 6, 8, 9, 10, 11, 13], [1, 7, 15]]"
