instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_norm,obj_value_ruido,obj_value_ruido_norm,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,distancia_entrada,distancia_salida,sensibilidad,buckets_original,buckets_ruido
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.0,0,31.976190476190474,0.1522675736961451,31.976190476190474,0.1522675736961451,5,5,0.5618969999923138,0.9999999999999998,0.0,0.0,0.0,nan,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.05,0,31.976190476190474,0.1522675736961451,30.967532467532468,0.14746444032158318,5,5,0.447630399998161,0.9999999999999998,0.0,0.014244485673057103,0.0,0.0,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.1,0,31.976190476190474,0.1522675736961451,30.967532467532468,0.14746444032158318,5,5,0.467188199996599,0.9999999999999998,0.0,0.014244485673057103,0.0,0.0,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.2,0,31.976190476190474,0.1522675736961451,37.277056277056275,0.17750979179550608,5,5,7.4189482999936445,0.9999999999999998,0.0,0.04428983714698,0.0,0.0,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.3,0,31.976190476190474,0.1522675736961451,32.47186147186147,0.15462791177076893,5,5,3.7932594000012614,0.9999999999999998,0.0,0.022995258709544424,0.0,0.0,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.5,0,31.976190476190474,0.1522675736961451,32.47186147186147,0.15462791177076893,5,5,4.326396300006309,0.9999999999999998,0.0,0.022995258709544424,0.0,0.0,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.6,0,31.976190476190474,0.1522675736961451,31.77164502164502,0.15129354772211914,5,4,0.7404127000045264,0.929320377284585,0.004761904761904779,0.04324366110080396,0.04285714285714286,0.9910618519842689,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 4, 5, 6, 9, 10, 13, 14]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.7,0,31.976190476190474,0.1522675736961451,34.75541125541125,0.1655019583591012,5,3,2.024840400001267,0.5591061446816102,0.006349206349206344,0.07491238919810349,0.19047619047619047,2.5426527242707757,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[11, 15], [1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14], [4]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=1.0,0,31.976190476190474,0.1522675736961451,35.35281385281385,0.16834673263244693,5,3,7.574594899997464,0.3790234957433074,0.05873015873015872,0.09185734900020616,0.2523809523809524,2.7475314183123873,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[8], [15], [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14]]"
00068-00000301.soi,soi,15,15,rankings,aleatoria,b=0.0,1,31.976190476190474,0.1522675736961451,31.976190476190474,0.1522675736961451,5,5,0.6167222999938531,0.9999999999999998,0.0,0.0,0.0,nan,"[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]"
