instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_norm,obj_value_ruido,obj_value_ruido_norm,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,distancia_entrada,distancia_salida,sensibilidad,buckets_original,buckets_ruido
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.0,0,15.380640297667247,0.13982400270606588,15.380640297667247,0.13982400270606588,2,2,0.07716090000758413,1.0,0.0,0.0,0.0,nan,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.05,0,15.380640297667247,0.13982400270606588,16.850603902250207,0.1531873082022746,2,2,0.08264910000434611,1.0,0.0,0.027921387506658058,0.0,0.0,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.1,0,15.380640297667247,0.13982400270606588,19.592463685503226,0.1781133062318475,2,2,0.11229430000821594,1.0,0.0,0.05584277501331612,0.0,0.0,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.2,0,15.380640297667247,0.13982400270606588,23.726188059599707,0.2156926187236337,2,3,0.28449900000123307,0.960768922830523,0.01437496325251395,0.09568336689221268,0.01818181818181818,0.1900206772855307,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4], [9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.3,0,15.380640297667247,0.13982400270606588,25.202377863355714,0.2291125260305065,2,5,0.2619953999965219,0.8401680504168059,0.07338502164303988,0.11884583980895724,0.09090909090909091,0.764932883264789,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3], [4], [9], [1, 2, 5, 6, 7, 10, 11], [8]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.5,0,15.380640297667247,0.13982400270606588,25.884380562534446,0.23531255056849495,2,8,3.053728899991256,0.6510592946331426,0.19385443666719845,0.14766123199307643,0.2727272727272727,1.8469795290619029,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3], [4], [9, 11], [1, 10], [7], [5], [2, 6], [8]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.6,0,15.380640297667247,0.13982400270606588,25.707160754650776,0.23370146140591613,2,8,0.39889699999184813,0.6574112430462838,0.19933845932260716,0.15599586566941293,0.2636363636363636,1.6900214791272923,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3], [4], [9, 11], [1, 2, 10], [7], [5], [6], [8]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.7,0,15.380640297667247,0.13982400270606588,25.77650207928858,0.23433183708444164,2,8,0.19113950000610203,0.6574112430462838,0.19933845932260716,0.1616429380605946,0.2636363636363636,1.6309797804933182,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3], [4], [9, 11], [1, 2, 10], [7], [5], [6], [8]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=1.0,0,15.380640297667247,0.13982400270606588,26.15839229291344,0.2378035662992131,2,8,2.182825399999274,0.6574112430462838,0.19933845932260716,0.1731288947301659,0.2636363636363636,1.5227750633264323,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3], [4], [9, 11], [1, 2, 10], [7], [5], [6], [8]]"
00071-00000033.toi,toi,11,1302,matriz,cerca_empate,b=0.0,1,15.380640297667247,0.13982400270606588,15.380640297667247,0.13982400270606588,2,2,0.10915969999041408,1.0,0.0,0.0,0.0,nan,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
