instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_ruido,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,buckets_original,buckets_ruido
00068-00000001.soi,soi,10,23,rankings,empate,b=0.1,0,15.633208962109215,14.568993921679343,4,4,0.07118910003919154,0.4548588261473421,-8.561904761904763,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 5, 6, 7, 8, 10], [3], [4], [9]]"
00068-00000001.soi,soi,10,23,rankings,empate,b=0.2,0,15.633208962109215,16.1032664976399,4,3,0.060525800043251365,0.8905635565617214,0.43809523809522943,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 4, 5, 7, 8, 10], [3], [6, 9]]"
00068-00000001.soi,soi,10,23,rankings,empate,b=0.3,0,15.633208962109215,12.987751833276128,4,2,0.04416370001854375,0.4951875684721383,-5.561904761904771,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 4, 5, 6, 7, 8, 10], [9]]"
00068-00000001.soi,soi,10,23,rankings,intercambio,b=0.1,0,15.633208962109215,12.765568361732043,4,3,0.047186699986923486,0.1936007731655916,-1.5619047619047706,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 3, 5, 6, 7, 8, 10], [2], [4, 9]]"
00068-00000001.soi,soi,10,23,rankings,intercambio,b=0.2,0,15.633208962109215,14.754505596705087,4,1,0.03613750002114102,0.0,-14.561904761904767,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00068-00000001.soi,soi,10,23,rankings,intercambio,b=0.3,0,15.633208962109215,16.161421301063243,4,2,0.554144499998074,-0.18569533817705186,-10.327561327561337,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 3, 4, 5, 6, 7, 8, 9], [2, 10]]"
00068-00000001.soi,soi,10,23,rankings,local,b=0.1,0,15.633208962109215,12.888954211460605,4,2,0.03592619998380542,0.4951875684721383,-5.561904761904771,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 4, 5, 6, 7, 8, 10], [9]]"
00068-00000001.soi,soi,10,23,rankings,local,b=0.2,0,15.633208962109215,15.22343862446164,4,1,0.08636919996934012,0.0,-14.561904761904767,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00068-00000001.soi,soi,10,23,rankings,local,b=0.3,0,15.633208962109215,14.21483708107749,4,2,0.05190660001244396,-0.12379689211803457,-13.327561327561337,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9], [10]]"
00068-00000001.soi,soi,10,23,rankings,movimiento,b=0.1,0,15.633208962109215,14.608242822820827,4,5,0.7435157000436448,0.5189781342417641,12.999999999999993,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1], [2, 3], [4, 7, 8, 10], [5, 6], [9]]"
00068-00000001.soi,soi,10,23,rankings,movimiento,b=0.2,0,15.633208962109215,13.689386927366463,4,4,0.06213999999454245,0.4548588261473421,-8.561904761904763,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 5, 6, 7, 8, 10], [3], [4], [9]]"
00068-00000001.soi,soi,10,23,rankings,movimiento,b=0.3,0,15.633208962109215,14.233745382210856,4,3,0.04359209997346625,0.630528288755463,-7.5619047619047635,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 4, 5, 6, 7, 8, 10], [3], [9]]"
00068-00000001.soi,soi,10,23,rankings,empate,b=0.1,1,15.633208962109215,16.336327100009967,4,4,0.08772150002187118,0.4548588261473421,-8.561904761904763,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 5, 6, 7, 8, 10], [3], [4], [9]]"
00068-00000001.soi,soi,10,23,rankings,empate,b=0.2,1,15.633208962109215,16.82065300428472,4,3,0.08396930003073066,0.3152641443777315,-5.561904761904771,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 5, 6, 7, 8, 10], [4], [9]]"
00068-00000001.soi,soi,10,23,rankings,empate,b=0.3,1,15.633208962109215,15.082191664544606,4,3,0.07197280001128092,-0.180150939644418,-15.327561327561337,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 5, 6, 7, 8, 9], [4], [10]]"
00068-00000001.soi,soi,10,23,rankings,intercambio,b=0.1,1,15.633208962109215,16.170173049456935,4,3,0.0800003000185825,0.8905635565617214,0.43809523809522943,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 4, 5, 7, 8, 10], [3], [6, 9]]"
00068-00000001.soi,soi,10,23,rankings,intercambio,b=0.2,1,15.633208962109215,11.10847089824072,4,2,0.04505600000265986,-0.12379689211803457,-15.561904761904767,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 5, 6, 7, 8, 9, 10], [4]]"
00068-00000001.soi,soi,10,23,rankings,intercambio,b=0.3,1,15.633208962109215,13.390982163616435,4,1,0.04599820001749322,0.0,-14.561904761904767,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00068-00000001.soi,soi,10,23,rankings,local,b=0.1,1,15.633208962109215,17.363376918619892,4,3,0.13391729997238144,0.4288450139351179,-5.561904761904771,"[[1], [2, 4, 5, 7, 8, 10], [3], [6, 9]]","[[1, 5, 6, 7, 8, 10], [2, 3, 4], [9]]"
