instancia,tipo,n,m,num_clientes,modo_federado,tecnica,parametros,seed,obj_value_central,obj_value_federado,perdida,n_buckets_central,n_buckets_federado,tiempo,kendall_tau,buckets_central,buckets_federado
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.0,0,0.5783132529040484,0.5783132529040484,0.0,2,2,0.0179597999667748,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.01,0,0.5783132529040484,0.5858583802781725,0.0,2,2,0.0135982000501826,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.05,0,0.5783132529040484,0.6160388893090079,0.0,2,2,0.0135598999913781,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.1,0,0.5783132529040484,0.6537645257139664,0.0,2,2,0.0128720999928191,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.0,1,0.5783132529040484,0.5783132529040484,0.0,2,2,0.0177092000376433,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.01,1,0.5783132529040484,0.5784712218776797,0.0,2,2,0.013092300039716,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.05,1,0.5783132529040484,0.5791030977722054,0.0,2,2,0.0143911000341176,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.1,1,0.5783132529040484,0.5798929426403623,0.0,2,2,0.0130738998996093,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.0,2,0.5783132529040484,0.5783132529040484,0.0,2,2,0.0130524999694898,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.01,2,0.5783132529040484,0.6008333226459004,0.0,2,2,0.0127706000348553,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.05,2,0.5783132529040484,0.6909136013804749,0.0,2,2,0.0127532000187784,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,2,matrices,cerca_empate,b=0.1,2,0.5783132529040484,0.8035139497404864,0.0,2,2,0.0174931999063119,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.0,0,0.5783132529040484,0.5783132529040484,0.0,2,2,0.0152977000689134,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.01,0,0.5783132529040484,0.5841703946065615,0.0,2,2,0.0130645999452099,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.05,0,0.5783132529040484,0.6075989611837826,0.0,2,2,0.0139242999721318,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.1,0,0.5783132529040484,0.6368846693471015,0.0,2,2,0.0105186000000685,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.0,1,0.5783132529040484,0.5783132529040484,0.0,2,2,0.0089566999813541,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.01,1,0.5783132529040484,0.5765780017701334,0.0,2,2,0.0080484000500291,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.05,1,0.5783132529040484,0.5696369972344733,0.0,2,2,0.0084056999767199,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.1,1,0.5783132529040484,0.5609607414484832,0.0,2,2,0.0081533999182283,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.0,2,0.5783132529040484,0.5783132529040484,0.0,2,2,0.0079534000251442,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.01,2,0.5783132529040484,0.5951748387547888,0.0,2,2,0.0078804000513628,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.05,2,0.5783132529040484,0.662621182041335,0.0,2,2,0.0078720999881625,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000001.soc,soc,3,664,3,matrices,cerca_empate,b=0.1,2,0.5783132529040484,0.7469291111786216,0.0,2,2,0.0075972999911755,1.0,"[[1, 2], [3]]","[[1, 2], [3]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.0,0,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0071197000797837,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.01,0,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0081859999336302,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.05,0,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0069242999888956,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.1,0,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0078402999788522,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.0,1,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0077667000005021,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.01,1,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0086261999094858,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.05,1,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0091668999521061,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.1,1,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0062311999499797,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.0,2,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0075574999209493,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.01,2,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0067382999695837,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.05,2,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0088687000097706,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,2,matrices,cerca_empate,b=0.1,2,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0076560000889003,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,3,matrices,cerca_empate,b=0.0,0,1.0018761727260426,1.0018761727260426,0.0,3,3,0.0072552999481558,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,3,matrices,cerca_empate,b=0.01,0,1.0018761727260426,1.0018761727260426,0.0,3,3,0.006508499966003,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
00004-00000003.soc,soc,3,533,3,matrices,cerca_empate,b=0.05,0,1.0018761727260426,1.0018761727260426,0.0,3,3,0.007328400039114,1.0,"[[3], [2], [1]]","[[3], [2], [1]]"
