instancia,tipo,n,m,num_clientes,modo_federado,tecnica,parametros,seed,obj_value_central,obj_value_federado,perdida,n_buckets_central,n_buckets_federado,tiempo,kendall_tau,buckets_central,buckets_federado
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.01,1,9.260869565217392,9.28466229330953,0.0,3,3,0.0710066999308765,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.05,1,9.260869565217392,9.379833205678082,0.0,3,3,0.0578857000218704,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.1,1,9.260869565217392,9.49879684613877,0.0,3,3,0.0629319000290706,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.01,2,9.260869565217392,9.225925872244655,0.0,3,3,0.0660551999462768,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.05,2,9.260869565217392,9.086151100353703,0.0,3,3,0.0443932000780478,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.1,2,9.260869565217392,9.05900377462221,0.0,3,3,0.0436832000268623,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.01,3,9.260869565217392,9.231484155529392,0.0,3,3,0.0701817000517621,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.05,3,9.260869565217392,9.113942516777394,0.0,3,3,0.0473192000063136,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.1,3,9.260869565217392,9.033980654326326,0.0,3,3,0.0510976000223308,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,3,matrices,cerca_empate,b=0.01,4,9.260869565217392,9.314529101125904,0.0,3,3,0.0650284000439569,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
