instancia,tipo,n,m,num_clientes,modo_federado,tecnica,parametros,seed,obj_value_central,obj_value_federado,perdida,n_buckets_central,n_buckets_federado,tiempo,kendall_tau,buckets_central,buckets_federado
00006-00000001.toc,toc,30,9,2,matrices,cerca_empate,b=0.0,0,33.22222222222223,33.22222222222223,0.0,13,13,3.3387034999905154,1.0,"[[30], [2, 21], [18], [4, 14, 17, 19, 23], [11], [3, 10], [5, 22, 24, 26, 28], [7, 27], [9, 29], [8, 25], [1, 12, 13, 15], [16, 20], [6]]","[[30], [2, 21], [18], [4, 14, 17, 19, 23], [11], [3, 10], [5, 22, 24, 26, 28], [7, 27], [9, 29], [8, 25], [1, 12, 13, 15], [16, 20], [6]]"
00006-00000001.toc,toc,30,9,2,matrices,cerca_empate,b=0.01,0,33.22222222222223,33.38757971243992,0.0,13,12,4.844406399992295,0.997515524111616,"[[30], [2, 21], [18], [4, 14, 17, 19, 23], [11], [3, 10], [5, 22, 24, 26, 28], [7, 27], [9, 29], [8, 25], [1, 12, 13, 15], [16, 20], [6]]","[[30], [2, 21], [18], [4, 14, 17, 19, 23], [11], [3, 10], [5, 22, 24, 26, 28], [7, 27], [9, 29], [8, 25], [1, 12, 13, 15], [6, 16, 20]]"
00006-00000001.toc,toc,30,9,2,matrices,cerca_empate,b=0.05,0,33.22222222222223,34.24790760236584,1.0,13,12,4.496052999980748,0.9712037061882182,"[[30], [2, 21], [18], [4, 14, 17, 19, 23], [11], [3, 10], [5, 22, 24, 26, 28], [7, 27], [9, 29], [8, 25], [1, 12, 13, 15], [16, 20], [6]]","[[30], [2, 21], [18], [4, 14, 17, 19, 23], [11], [3, 5, 10, 22, 24, 26], [7, 27, 28], [9, 29], [8, 12, 13, 15, 25], [1], [16, 20], [6]]"
