instancia,tipo,n,m,num_clientes,cliente_id,m_cliente,metodo_federado,tecnica,b,seed,kendall_tau_global,obj_local,obj_federado_en_cliente,perdida_local,obj_local_norm,obj_federado_en_cliente_norm,perdida_local_norm,distancia_entrada_local,distancia_entrada_global,distancia_salida_global,sensibilidad_global,n_buckets_local,n_buckets_federado,buckets_local,buckets_federado,tiempo
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.1,1,0.7561334445873297,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.017857142857142867,0.10119047619047618,0.08333333333333331,0.0003018620167243302,0.004014448579738737,0.11904761904761904,29.654787371910174,14,4,"[[14], [13], [12], [11, 15], [10], [8], [7], [6], [5], [3], [2], [4], [9], [1]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",2.4754699000041
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.5,1,0.7561334445873297,4.095238095238095,19.42857142857143,15.333333333333336,0.046536796536796536,0.2207792207792208,0.17424242424242428,0.05102811277280753,0.018758279110372127,0.11904761904761904,6.34640407828207,14,4,"[[7], [12], [8, 15], [13], [3], [11], [14], [9], [6], [5], [2], [1], [10], [4]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",1.5734013000037521
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.5,1,0.7561334445873297,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.017857142857142867,0.10119047619047618,0.08333333333333331,0.001509310083621658,0.018758279110372127,0.11904761904761904,6.34640407828207,14,4,"[[14], [13], [12], [11, 15], [10], [8], [7], [6], [5], [3], [2], [4], [9], [1]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",1.5734013000037521
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,1.0,1,0.7561334445873297,4.095238095238095,19.42857142857143,15.333333333333336,0.046536796536796536,0.2207792207792208,0.17424242424242428,0.07573182382186214,0.027145828277765655,0.11904761904761904,4.385484864542794,14,4,"[[7], [12], [8, 15], [13], [3], [11], [14], [9], [6], [5], [2], [1], [10], [4]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",1.2388532000040868
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,1.0,1,0.7561334445873297,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.017857142857142867,0.10119047619047618,0.08333333333333331,0.0030186201672433182,0.027145828277765655,0.11904761904761904,4.385484864542794,14,4,"[[14], [13], [12], [11, 15], [10], [8], [7], [6], [5], [3], [2], [4], [9], [1]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",1.2388532000040868
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.05,2,0.9999999999999998,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.01339285714285715,0.07589285714285714,0.062499999999999986,0.010833561054031424,0.0015956701625252112,0.0,0.0,14,5,"[[12], [10], [8], [7], [11, 15], [14], [13], [6], [5], [3], [2], [4], [9], [1]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",2.0051092000067
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.05,2,0.9999999999999998,3.80952380952381,6.809523809523809,2.999999999999999,0.046457607433217196,0.08304297328687572,0.03658536585365853,0.00028378401183238054,0.0015956701625252112,0.0,0.0,14,5,"[[14], [13], [7], [12], [8, 15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",2.0051092000067
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.1,2,0.9999999999999998,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.01339285714285715,0.07589285714285714,0.062499999999999986,0.021667122108062837,0.003191340325050421,0.0,0.0,14,5,"[[12], [10], [8], [7], [11, 15], [14], [13], [6], [5], [3], [2], [4], [9], [1]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",4.6388641000085045
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.1,2,0.9999999999999998,3.80952380952381,6.809523809523809,2.999999999999999,0.046457607433217196,0.08304297328687572,0.03658536585365853,0.0005675680236647611,0.003191340325050421,0.0,0.0,14,5,"[[14], [13], [7], [12], [8, 15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",4.6388641000085045
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.5,2,0.9999999999999998,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.01339285714285715,0.07589285714285714,0.062499999999999986,0.10194146963328872,0.014982356344181554,0.0,0.0,14,5,"[[12], [10], [8], [7], [11, 15], [14], [13], [6], [5], [3], [2], [4], [9], [1]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",0.7114556000015
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.5,2,0.9999999999999998,3.80952380952381,6.809523809523809,2.999999999999999,0.046457607433217196,0.08304297328687572,0.03658536585365853,0.0028378401183238072,0.014982356344181554,0.0,0.0,14,5,"[[14], [13], [7], [12], [8, 15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",0.7114556000015
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,1.0,2,0.9999999999999998,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.01339285714285715,0.07589285714285714,0.062499999999999986,0.14126629749009725,0.020430535006644237,0.0,0.0,14,5,"[[12], [10], [8], [7], [11, 15], [14], [13], [6], [5], [3], [2], [4], [9], [1]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",1.6613616999966325
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,1.0,2,0.9999999999999998,3.80952380952381,6.809523809523809,2.999999999999999,0.046457607433217196,0.08304297328687572,0.03658536585365853,0.005675680236647614,0.020430535006644237,0.0,0.0,14,5,"[[14], [13], [7], [12], [8, 15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",1.6613616999966325
