instancia,tipo,n,m,num_clientes,cliente_id,m_cliente,metodo_federado,tecnica,b,seed,kendall_tau_global,obj_local,obj_federado_en_cliente,perdida_local,obj_local_norm,obj_federado_en_cliente_norm,perdida_local_norm,distancia_entrada_local,distancia_entrada_global,distancia_salida_global,sensibilidad_global,n_buckets_local,n_buckets_federado,buckets_local,buckets_federado,tiempo
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.1,1,1.0,21.799999999999926,27.2,5.400000000000073,0.03949275362318827,0.049275362318840575,0.009782608695652307,0.006439314008275332,0.0057424264133184195,0.0,0.0,10,9,"[[23], [21], [20, 22, 24], [18, 19], [17], [13, 14, 15], [7, 12], [3, 4, 6], [5, 8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",1.2104620000027353
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.1,1,1.0,22.75,33.75,11.0,0.04121376811594203,0.06114130434782609,0.019927536231884056,0.008293338677030514,0.0057424264133184195,0.0,0.0,9,9,"[[23], [21], [20, 22, 24], [17, 18, 19], [14], [5, 7, 13, 15], [3, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",1.2104620000027353
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.5,1,0.9960079680956173,21.799999999999926,28.799999999999997,7.000000000000071,0.03949275362318827,0.05217391304347826,0.012681159420289984,0.02269248729071145,0.016770994389076737,0.0036231884057971015,0.21603897310686312,10,10,"[[23], [21], [20, 22, 24], [18, 19], [17], [13, 14, 15], [7, 12], [3, 4, 6], [5, 8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2], [11]]",1.155338099997607
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.5,1,0.9960079680956173,22.75,35.75,13.0,0.04121376811594203,0.06476449275362318,0.02355072463768116,0.023583002471747015,0.016770994389076737,0.0036231884057971015,0.21603897310686312,9,10,"[[23], [21], [20, 22, 24], [17, 18, 19], [14], [5, 7, 13, 15], [3, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2], [11]]",1.155338099997607
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,1.0,1,0.9901085600225469,21.799999999999926,31.0,9.200000000000074,0.03949275362318827,0.05615942028985507,0.016666666666666802,0.031013635198253526,0.021395690777685116,0.009057971014492754,0.4233549226622713,10,12,"[[23], [21], [20, 22, 24], [18, 19], [17], [13, 14, 15], [7, 12], [3, 4, 6], [5, 8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20], [24], [22], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2], [11]]",1.445661099991412
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,1.0,1,0.9901085600225469,22.75,38.75,16.0,0.04121376811594203,0.07019927536231885,0.028985507246376812,0.02851518995241146,0.021395690777685116,0.009057971014492754,0.4233549226622713,9,12,"[[23], [21], [20, 22, 24], [17, 18, 19], [14], [5, 7, 13, 15], [3, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20], [24], [22], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2], [11]]",1.445661099991412
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.05,2,1.0,31.400000000000006,35.4,3.999999999999993,0.0568840579710145,0.06413043478260869,0.00724637681159419,0.004573282469389728,0.002862673225031246,0.0,0.0,11,9,"[[23], [21, 24], [20], [22], [18], [17, 19], [7, 13, 14, 15], [3, 4, 5, 6, 12], [8], [9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",2.2359961999900406
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.05,2,1.0,20.0,23.0,3.0,0.036231884057971016,0.041666666666666664,0.005434782608695652,0.0014836523251447388,0.002862673225031246,0.0,0.0,11,9,"[[23], [21], [20, 22], [18, 19, 24], [14, 17], [7, 13, 15], [12], [3, 4, 5, 6], [8, 9, 10, 16], [1], [2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",2.2359961999900406
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.1,2,1.0,31.400000000000006,35.4,3.999999999999993,0.0568840579710145,0.06413043478260869,0.00724637681159419,0.009146564938779456,0.005725346450062491,0.0,0.0,11,9,"[[23], [21, 24], [20], [22], [18], [17, 19], [7, 13, 14, 15], [3, 4, 5, 6, 12], [8], [9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",1.1977973000030033
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.1,2,1.0,20.0,23.0,3.0,0.036231884057971016,0.041666666666666664,0.005434782608695652,0.002967304650289479,0.005725346450062491,0.0,0.0,11,9,"[[23], [21], [20, 22], [18, 19, 24], [14, 17], [7, 13, 15], [12], [3, 4, 5, 6], [8, 9, 10, 16], [1], [2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",1.1977973000030033
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.5,2,0.9724535630102528,31.400000000000006,37.0,5.599999999999994,0.0568840579710145,0.06702898550724638,0.010144927536231873,0.0338972556014096,0.02079397797845962,0.025362318840579712,1.2196953784818092,11,11,"[[23], [21, 24], [20], [22], [18], [17, 19], [7, 13, 14, 15], [3, 4, 5, 6, 12], [8], [9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [17], [13, 14, 15], [7, 12], [3, 4, 5, 6], [8, 9], [10, 16], [1, 2, 11]]",3.41522170000826
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.5,2,0.9724535630102528,20.0,27.0,7.0,0.036231884057971016,0.04891304347826087,0.012681159420289856,0.012007287505388098,0.02079397797845962,0.025362318840579712,1.2196953784818092,11,11,"[[23], [21], [20, 22], [18, 19, 24], [14, 17], [7, 13, 15], [12], [3, 4, 5, 6], [8, 9, 10, 16], [1], [2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [17], [13, 14, 15], [7, 12], [3, 4, 5, 6], [8, 9], [10, 16], [1, 2, 11]]",3.41522170000826
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,1.0,2,0.9843127528030607,31.400000000000006,38.2,6.799999999999997,0.0568840579710145,0.06920289855072465,0.01231884057971014,0.044382630759617,0.025562210018432042,0.014492753623188406,0.5669601185788777,11,11,"[[23], [21, 24], [20], [22], [18], [17, 19], [7, 13, 14, 15], [3, 4, 5, 6, 12], [8], [9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [12], [3, 4, 5, 6], [8, 9], [10, 16], [1, 2, 11]]",2.036739699993632
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,1.0,2,0.9843127528030607,20.0,25.0,5.0,0.036231884057971016,0.04528985507246377,0.009057971014492754,0.01495660399628344,0.025562210018432042,0.014492753623188406,0.5669601185788777,11,11,"[[23], [21], [20, 22], [18, 19, 24], [14, 17], [7, 13, 15], [12], [3, 4, 5, 6], [8, 9, 10, 16], [1], [2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [12], [3, 4, 5, 6], [8, 9], [10, 16], [1, 2, 11]]",2.036739699993632
