instancia,tipo,n,m,num_clientes,cliente_id,m_cliente,metodo_federado,tecnica,b,seed,kendall_tau_global,obj_local,obj_federado_en_cliente,perdida_local,obj_local_norm,obj_federado_en_cliente_norm,perdida_local_norm,distancia_entrada_local,distancia_entrada_global,distancia_salida_global,sensibilidad_global,n_buckets_local,n_buckets_federado,buckets_local,buckets_federado,tiempo
00068-00000301.soi,soi,15,15,3,1,5,matrices,todos,0.05,0,0.8264714394326625,0.40000000000000036,4.6,4.199999999999999,0.0181818181818182,0.20909090909090908,0.1909090909090909,0.0333341709081213,0.013821567447198582,0.1,7.235069421903264,15,4,"[[1], [2], [15], [3], [11], [6], [4], [5], [7], [8], [9], [10], [12], [13], [14]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",0.6614961000013864
00068-00000301.soi,soi,15,15,3,2,5,matrices,todos,0.05,0,0.8264714394326625,0.5,13.5,13.0,0.00641025641025641,0.17307692307692307,0.16666666666666666,0.031474715648705374,0.013821567447198582,0.1,7.235069421903264,14,4,"[[9], [7], [12], [8, 11], [15], [14], [13], [6], [5], [3], [2], [1], [10], [4]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",0.6614961000013864
00068-00000301.soi,soi,15,15,3,3,5,matrices,todos,0.05,0,0.8264714394326625,0.8000000000000007,4.0,3.1999999999999993,0.03333333333333336,0.16666666666666666,0.1333333333333333,0.024442690698090547,0.013821567447198582,0.1,7.235069421903264,15,4,"[[1], [11], [15], [2], [3], [4], [5], [6], [7], [8], [9], [10], [12], [13], [14]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",0.6614961000013864
00068-00000301.soi,soi,15,15,3,1,5,matrices,todos,0.05,1,0.7561334445873297,1.0,3.0,2.0,0.03333333333333333,0.1,0.06666666666666667,0.018417995590379477,0.012457234909393504,0.11904761904761904,9.556504305610387,15,4,"[[12], [10], [8], [7], [15], [13], [6], [5], [3], [11], [14], [9], [4], [2], [1]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",1.2642171000043163
00068-00000301.soi,soi,15,15,3,2,5,matrices,todos,0.05,1,0.7561334445873297,2.2666666666666657,18.6,16.333333333333336,0.02982456140350876,0.24473684210526317,0.21491228070175442,0.028555737064931686,0.012457234909393504,0.11904761904761904,9.556504305610387,13,4,"[[14], [13], [7], [12], [8, 11, 15], [6], [5], [3], [2], [1], [10], [4], [9]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",1.2642171000043163
00068-00000301.soi,soi,15,15,3,3,5,matrices,todos,0.05,1,0.7561334445873297,0.5999999999999996,0.5999999999999999,0.0,0.03333333333333331,0.033333333333333326,0.0,0.0454219386256781,0.012457234909393504,0.11904761904761904,9.556504305610387,14,4,"[[1], [11, 15], [2], [3], [6], [4], [5], [7], [8], [9], [10], [12], [13], [14]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",1.2642171000043163
00068-00000301.soi,soi,15,15,3,1,5,matrices,todos,0.05,2,0.5591061446816102,0.5999999999999996,6.6000000000000005,6.000000000000001,0.024999999999999984,0.275,0.25000000000000006,0.032269324218746474,0.013311701606741203,0.19047619047619047,14.308928798383752,14,3,"[[14], [13], [12], [10], [8], [7], [11, 15], [6], [5], [3], [2], [4], [9], [1]]","[[11, 15], [1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14], [4]]",4.377164000004996
00068-00000301.soi,soi,15,15,3,2,5,matrices,todos,0.05,2,0.5591061446816102,0.5,3.5,3.0,0.016666666666666666,0.11666666666666667,0.1,0.025093915550406163,0.013311701606741203,0.19047619047619047,14.308928798383752,15,3,"[[1], [2], [15], [3], [11], [6], [13], [4], [5], [7], [8], [9], [10], [12], [14]]","[[11, 15], [1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14], [4]]",4.377164000004996
00068-00000301.soi,soi,15,15,3,3,5,matrices,todos,0.05,2,0.5591061446816102,2.2666666666666657,24.6,22.333333333333336,0.032380952380952364,0.3514285714285714,0.3190476190476191,0.030980624458967005,0.013311701606741203,0.19047619047619047,14.308928798383752,13,3,"[[14], [13], [9], [7], [12], [8, 11, 15], [6], [5], [3], [2], [1], [10], [4]]","[[11, 15], [1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14], [4]]",4.377164000004996
