instancia,tipo,n,m,num_clientes,modo_federado,tecnica,parametros,seed,obj_value_central,obj_value_federado,perdida,n_buckets_central,n_buckets_federado,tiempo,kendall_tau,buckets_central,buckets_federado
00068-00000001.soi,soi,10,23,2,rankings,local,b=0.1,0,9.260869565217392,14.086956521739127,13.260869565217392,3,2,0.0745501000201329,0.4714045207910316,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[9], [1, 2, 3, 4, 5, 6, 7, 8, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,local,b=0.2,0,9.260869565217392,11.434782608695652,20.869565217391305,3,1,0.0479976999340578,0.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,local,b=0.3,0,9.260869565217392,8.217391304347826,20.869565217391305,3,1,0.0308838000055402,0.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,movimiento,b=0.1,0,9.260869565217392,10.130434782608695,0.0434782608695663,3,4,0.0500440000323578,0.9847319278346618,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[9], [6], [1, 5, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,movimiento,b=0.2,0,9.260869565217392,13.608695652173914,0.7391304347826058,3,3,0.0859549000160768,0.919145030018058,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[9], [1, 5, 6, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,movimiento,b=0.3,0,9.260869565217392,13.478260869565217,3.17391304347826,3,3,0.0812125999946147,0.8308675641104959,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[5, 6, 9], [1, 7, 8, 10], [2, 3, 4]]"
00068-00000001.soi,soi,10,23,2,rankings,local,b=0.1,1,9.260869565217392,13.999999999999998,0.7391304347826058,3,3,0.3976969999494031,0.919145030018058,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[9], [1, 5, 6, 7, 8], [2, 3, 4, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,local,b=0.2,1,9.260869565217392,9.565217391304348,13.260869565217392,3,2,0.0544193999376148,0.4714045207910316,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[9], [1, 2, 3, 4, 5, 6, 7, 8, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,local,b=0.3,1,9.260869565217392,12.782608695652174,13.260869565217392,3,2,0.0991727999644354,0.4714045207910316,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[9], [1, 2, 3, 4, 5, 6, 7, 8, 10]]"
00068-00000001.soi,soi,10,23,2,rankings,movimiento,b=0.1,1,9.260869565217392,11.478260869565217,0.0,3,3,0.0632136000785976,1.0,"[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]","[[6, 9], [1, 5, 7, 8], [2, 3, 4, 10]]"
