instancia,tipo,n,m,num_clientes,cliente_id,m_cliente,metodo_federado,tecnica,b,seed,kendall_tau_global,obj_local,obj_federado_en_cliente,perdida_local,obj_local_norm,obj_federado_en_cliente_norm,perdida_local_norm,distancia_entrada_local,distancia_entrada_global,distancia_salida_global,sensibilidad_global,n_buckets_local,n_buckets_federado,buckets_local,buckets_federado,tiempo
00068-00000301.soi,soi,15,15,3,1,5,matrices,aleatoria,0.1,0,0.7561334445873297,0.40000000000000036,3.6,3.1999999999999997,0.0181818181818182,0.16363636363636364,0.14545454545454545,0.04869211876165566,0.013030213393244373,0.11904761904761904,9.136275474148436,15,4,"[[1], [2], [15], [3], [11], [6], [4], [5], [7], [8], [9], [10], [12], [13], [14]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",3.1821320000017295
00068-00000301.soi,soi,15,15,3,2,5,matrices,aleatoria,0.1,0,0.7561334445873297,0.5,16.5,16.0,0.00641025641025641,0.21153846153846154,0.20512820512820512,0.023445582040711472,0.013030213393244373,0.11904761904761904,9.136275474148436,14,4,"[[9], [7], [12], [8, 11], [15], [14], [13], [6], [5], [3], [2], [1], [10], [4]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",3.1821320000017295
00068-00000301.soi,soi,15,15,3,3,5,matrices,aleatoria,0.1,0,0.7561334445873297,0.8000000000000007,5.0,4.199999999999999,0.03333333333333336,0.20833333333333334,0.17499999999999996,0.002489146599143521,0.013030213393244373,0.11904761904761904,9.136275474148436,15,4,"[[1], [11], [15], [2], [3], [4], [5], [6], [7], [8], [9], [10], [12], [13], [14]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",3.1821320000017295
00068-00000301.soi,soi,15,15,3,1,5,matrices,aleatoria,0.1,1,0.8264714394326625,1.0,4.0,3.0,0.03333333333333333,0.13333333333333333,0.1,0.015172882636983517,0.006183363989938103,0.1,16.172426556600143,15,4,"[[12], [10], [8], [7], [15], [13], [6], [5], [3], [11], [14], [9], [4], [2], [1]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",5.451753900008043
00068-00000301.soi,soi,15,15,3,2,5,matrices,aleatoria,0.1,1,0.8264714394326625,2.2666666666666657,11.6,9.333333333333334,0.02982456140350876,0.15263157894736842,0.12280701754385966,0.013460050966777545,0.006183363989938103,0.1,16.172426556600143,13,4,"[[14], [13], [7], [12], [8, 11, 15], [6], [5], [3], [2], [1], [10], [4], [9]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",5.451753900008043
00068-00000301.soi,soi,15,15,3,3,5,matrices,aleatoria,0.1,1,0.8264714394326625,0.5999999999999996,2.6,2.0000000000000004,0.03333333333333331,0.14444444444444446,0.11111111111111113,0.004733947779333826,0.006183363989938103,0.1,16.172426556600143,14,4,"[[1], [11, 15], [2], [3], [6], [4], [5], [7], [8], [9], [10], [12], [13], [14]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",5.451753900008043
00068-00000301.soi,soi,15,15,3,1,5,matrices,aleatoria,0.1,2,0.9999999999999998,0.5999999999999996,2.5999999999999996,2.0,0.024999999999999984,0.10833333333333332,0.08333333333333333,0.028889496144083787,0.005671815496400631,0.0,0.0,14,5,"[[14], [13], [12], [10], [8], [7], [11, 15], [6], [5], [3], [2], [4], [9], [1]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",3.2275373000011314
00068-00000301.soi,soi,15,15,3,2,5,matrices,aleatoria,0.1,2,0.9999999999999998,0.5,3.5,3.0,0.016666666666666666,0.11666666666666667,0.1,0.0,0.005671815496400631,0.0,0.0,15,5,"[[1], [2], [15], [3], [11], [6], [13], [4], [5], [7], [8], [9], [10], [12], [14]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",3.2275373000011314
00068-00000301.soi,soi,15,15,3,3,5,matrices,aleatoria,0.1,2,0.9999999999999998,2.2666666666666657,4.266666666666667,2.000000000000001,0.032380952380952364,0.06095238095238095,0.028571428571428584,0.01403761923205956,0.005671815496400631,0.0,0.0,13,5,"[[14], [13], [9], [7], [12], [8, 11, 15], [6], [5], [3], [2], [1], [10], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",3.2275373000011314
